sampleId,country,city,collectionDate
ER,Ethiopia,Debre Birhan,2011/12
FR,France,Lyon,2010/7
GA,Gabon,Franceville,2002/3
GU,Guinea,Dondé,2005/6
I,United States,Ithaca NY,2004
KN,Kenya,Nyahururu,2009/1
N,Netherlands,Houten,1998
NG,Nigeria,Maiduguri,2004/9
RAL,United States,Raleigh NC,2003
RG,Rwanda,Gikongoro,2008/12
SB,South Africa,Barkly East,2011/12
SD,South Africa,Dullstroom,2011/12
SP,South Africa,Phalaborwa,2010/7
T,Australia,Sorell TAS,2004
UK,Uganda,Kisoro,2012/1
W,United States,Winters CA,1998
ZI,Zambia,Siavonga,2010/7
ZW,Zimbabwe,Victoria Falls,2001/7
SIM,w501,w501,NA
